Label,SMS_Message
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,"Nothing much, chillin at home. Any super bowl plan?"
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,No need for the drug anymore.
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,Shall i come to get pickle
ham,Hi. I'm always online on yahoo and would like to chat with you someday
ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the &lt;#&gt; g wifi ipad. And what are you saying about the about the &lt;#&gt; g?
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,Kinda. First one gets in at twelve! Aah. Speak tomo
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
ham,Yup song bro. No creative. Neva test quality. He said check review online.
ham,You are gorgeous! keep those pix cumming :) thank you!
ham,Hope you are having a good week. Just checking in
ham,Dear how is chechi. Did you talk to her
ham,Now get step 2 outta the way. Congrats again.
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Den wat will e schedule b lk on sun?
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,Hey now am free you can call me.
ham,What * u wearing?
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
ham,U having lunch alone? I now so bored...
ham,U in town alone?
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham,"Yeah, we got one lined up for us"
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
ham,Ok can...
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,And maybe some pressies
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Got meh... When?
ham,Otherwise had part time job na-tuition..
ham,S:)but he had some luck.2 catches put down:)
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,"Sorry that took so long, omw now"
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,Why de. You looking good only:-)..
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,Nice.nice.how is it working?
ham,"Good stuff, will do."
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p
ham,Thinkin about someone is all good. No drugs for that
ham,Today am going to college so am not able to atten the class.
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,"Haha yeah, 2 oz is kind of a shitload"
ham,"It's reassuring, in this crazy world."
ham,Maybe?! Say hi to and find out if got his card. Great escape or wetherspoons?
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
ham,S:-)if we have one good partnership going we will take lead:)
ham,Oh just getting even with u.... u?
ham,Didn't you get hep b immunisation in nigeria.
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
ham,"Sorry, I'll call later"
ham,"Dear all, as we know &lt;#&gt; th is the &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,What should i eat fo lunch senor
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.
ham,Prakesh is there know.
ham,How much it will cost approx . Per month.
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,So what do you guys do.
ham,What time you think you'll have it? Need to know when I should be near campus
ham,Ok that's great thanx a lot.
ham,Where can download clear movies. Dvd copies.
ham,Thanks for understanding. I've been trying to tell sura that.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"Maybe westshore or hyde park village, the place near my house?"
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,Even if he my friend he is a priest call him now
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,K.k:)advance happy pongal.
ham,Huh so fast... Dat means u havent finished painting?
ham,Then i buy.
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,Watching telugu movie..wat abt u?
ham,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!"
ham,Yes when is the appt again?
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
ham,Watching ajith film ah?
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
ham,Watching tv now. I got new job :)
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,That one week leave i put know that time. Why.
ham,I borrow ur bag ok.
ham,"If e timing can, then i go w u lor..."
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
ham,Shb b ok lor... Thanx...
ham,Do you want bold 2 or bb torch
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,Anything...
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,R u meeting da ge at nite tmr?
ham,Dear got bus directly to calicut
ham,Ok. C u then.
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
ham,Gud mrng dear hav a nice day
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
ham,"Oh... Icic... K lor, den meet other day..."
ham,Smith waste da.i wanna gayle.
ham,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade"
ham,"No my blankets are sufficient, thx"
ham,Oh k k:)but he is not a big hitter.anyway good
ham,Kindly send some one to our flat before &lt;DECIMAL&gt; today.
ham,Dont gimme that lip caveboy
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
ham,Anything lor if they all go then i go lor...
ham,I was slept that time.you there?
ham,Just nw i came to hme da..
ham,Hey! There's veggie pizza... :/
ham,Hey you told your name to gautham ah?
ham,Jesus armand really is trying to tell everybody he can find
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
ham,I'm in office now . I will call you &lt;#&gt; min:)
spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
ham,"Haha, that was the first person I was gonna ask"
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,Dunno he jus say go lido. Same time 930.
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
ham,Well there's still a bit left if you guys want to tonight
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
ham,That's y we haf to combine n c how lor...
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,Pathaya enketa maraikara pa'
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june."
ham,How much r ü willing to pay?
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,Jus ans me lar. U'll noe later.
ham,Okey dokey swashbuckling stuff what oh.
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
ham,Wat's da model num of ur phone?
ham,Otherwise had part time job na-tuition..
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?"
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Yupz... I've oredi booked slots 4 my weekends liao...
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,Can i get your opinion on something first?
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
spam,2/2 146tf150p
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,"I think your mentor is , but not 100 percent sure."
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,I sent you &lt;#&gt; bucks
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Nice.nice.how is it working?
ham,Wife.how she knew the time of murder exactly
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
ham,How much are we getting?
ham,Package all your programs well
ham,Not..tel software name..
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,gonna let me know cos comes bak from holiday that day. is coming. Don't4get2text me number.
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""...."
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Hello which the site to download songs its urgent pls
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,R u over scratching it?
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,Ho ho - big belly laugh! See ya tomo
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,"Yes but i dont care! I need you bad, princess!"
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
ham,"Aight fuck it, I'll get it later"
ham,Ok lor. Msg me b4 u call.
ham,I went to ur hon lab but no one is there.
ham,"I can't right this second, gotta hit people up first"
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,I want to be inside you every night...
ham,Argh why the fuck is nobody in town ;_;
ham,I am going to sao mu today. Will be done only at 12
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk"
ham,Do u noe wat time e place dat sells 4d closes?
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
ham,Id onluy matters when getting on from offcampus
ham,Are you available for soiree on June 3rd?
spam,You have 1 new message. Please call 08712400200.
ham,"Aight that'll work, thanks"
ham,I dont understand your message.
ham,No problem. How are you doing?
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the &lt;#&gt; day return period ended.
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham,Detroit. The home of snow. Enjoy it.
ham,I'm going for bath will msg you next &lt;#&gt; min..
ham,Hello! Good week? Fancy a drink or something later?
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,I'll be at mu in like &lt;#&gt; seconds
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3."
ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow!
ham,"I'll see, but prolly yeah"
ham,"Carlos took a while (again), we leave in a minute"
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
ham,"Whatever, juliana. Do whatever you want."
ham,Thanks and ! Or bomb and date as my phone wanted to say!
ham,Ü v ma fan...
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Do have a nice day today. I love you so dearly.
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
ham,Are you this much buzy
ham,K:)k:)good:)study well.
ham,No. It's not pride. I'm almost &lt;#&gt; years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?"
ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,Where's my boytoy? I miss you ... What happened?
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,I think it's all still in my car
ham,Pls call me da. What happen.
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
ham,Hey do you want anything to buy:)
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,Good night. Am going to sleep.
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,Pls she needs to dat slowly or she will vomit more.
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question
ham,I am in tirupur. call you da.
ham,No but the bluray player can
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,Anything lor is she coming?
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,Nobody can decide where to eat and dad wants Chinese
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Do you like Italian food?
ham,K..give back my thanks.
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,"K I'm leaving soon, be there a little after 9"
ham,Huh so early.. Then ü having dinner outside izzit?
ham,Yo! Howz u? girls never rang after india. L
ham,I'll meet you in the lobby
spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Full heat pa:-) i have applyed oil pa.
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,Small problem in auction:)punj now asking tiwary
ham,It only does simple arithmetic not percentages.
spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham,"Haha awesome, be there in a minute"
ham,I'm leaving my house now.
ham,Sent me ur email id soon
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
ham,Ü give me some time to walk there.
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,So u workin overtime nigpun?
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,Will ü b going to esplanade fr home?
ham,Ya very nice. . .be ready on thursday
ham,Can. Dunno wat to get 4 her...
ham,"Theoretically yeah, he could be able to come"
ham,I can make lasagna for you... vodka...
ham,We got a divorce. Lol. She.s here
ham,Where are you lover ? I need you ...
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,Dad says hurry the hell up
ham,Love it! I want to flood that pretty pussy with cum...
ham,It's ok lar. U sleep early too... Nite...
ham,Thats cool. How was your day?
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,Howz that persons story
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,I'm in a movie. Call me 4 wat?
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.
ham,Where wuld I be without my baby? The thought alone mite break me and I dont wanna go crazy but everyboy needs his lady xxxxxxxx
ham,Are you willing to go for aptitude class.
ham,Yes. Nigh you cant aha.
ham,Hi mom we might be back later than &lt;#&gt;
